text,clean_text,label,mentions_dem,mentions_rep
"""There isn't some enchanted valley of Trump supporters left in Pennsylvania.""
Lt. Gov @JohnFetterman is over it. ", there isn t some enchanted valley of trump supporters left in pennsylvania.  lt. gov  johnfetterman is over it. ,Democrat,[],['Trump']
"   
          
 Did Rep. Ilhan Omar Say Minnesotans Can Vote without Registering?.
https://t.co/uDAcr8AjXj",                did rep. ilhan omar say minnesotans can vote without registering . ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump']"
"You either love your country
or support  because
YOU HATE YOUR COUNTRY



             https://t.co/NeYDxa0adL",you either love your country or support  because you hate your country                 ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump']"
"Dem cities boarding up 'all the proof you need' the left shouldn't have 'federal power': Kayleigh McEnany

https://t.co/9VL1x60qzR
This is real!   hiding that  will riot. Tomorrow!",dem cities boarding up  all the proof you need  the left shouldn t have  federal power : kayleigh mcenany   this is real    hiding that  will riot. tomorrow ,Democrat,[],[]
"America is DIVERSITY!!        

'Gigantic Baby': Trump Plummets As His Own Execs Back Biden | The Beat W... https://t.co/xwPNoNg7LK via @YouTube",america is diversity             gigantic baby : trump plummets as his own execs back biden   the beat w...  via  youtube,Democrat,['Biden'],"['Trump', 'Trump']"
"BOYCOTT GOYA FOODS https://t.co/GnHwxXay5r CEO ENDORSES DONALD TRUMP, RACISM &amp; FACISM IS NOT AN OPTION              https://t.co/9gVSojfk4A","boycott goya foods  ceo endorses donald trump, racism and; facism is not an option              ",Democrat,[],"['TRUMP', 'trump', 'trump', 'DONALD']"
"May come as a surprise but Boni is a Facebook user who supports Trump. Go show her some love.
   https://t.co/fagkEnqvKR",may come as a surprise but boni is a facebook user who supports trump. go show her some love.    ,Democrat,[],"['Trump', 'Trump']"
Trump Will Have His Own ‘Deep State’—and His Own  https://t.co/9PWlXCmkph https://t.co/0AJx41qk7y,trump will have his own  deep state  and his own   ,Democrat,[],['Trump']
"This is such a slap in the face to  and their families and all who died from 
 are 

If this is not the basis to reject this (per VanityFair) asshole, then nothing is.

  

https://t.co/Sf9yRxOYVd","this is such a slap in the face to  and their families and all who died from   are   if this is not the basis to reject this  per vanityfair  asshole, then nothing is.      ",Democrat,[],"['Trump', 'Donald']"
"to anyone thinking about voting for trump: he thinks climate change is a hoax, he literally doesn't want lgbtqi+ or non-white races to have rights. he is a rascist and a homophobe We must protect  and  communities against hate. Vote Biden now, you only have 1 day.🖤","to anyone thinking about voting for trump: he thinks climate change is a hoax, he literally doesn t want lgbtqi  or non-white races to have rights. he is a rascist and a homophobe we must protect  and  communities against hate. vote biden now, you only have 1 day. ",Democrat,['Biden'],['trump']
"DACA kids if Trump won you would be on your way back to parents original Country, Thankfully Trump will lose and we will Officially welcome you to your new permanent home our home. 
  
 
 
 
","daca kids if trump won you would be on your way back to parents original country, thankfully trump will lose and we will officially welcome you to your new permanent home our home.           ",Democrat,"['Biden', 'Biden']","['Trump', 'Trump']"
"I had some one tell me... “antifa is just an idea, the real threat is white supremacy and neo nazis. the fbi director even said so”.

Some people walk with their eyes closed      https://t.co/0x5gNhpmtH","i had some one tell me...  antifa is just an idea, the real threat is white supremacy and neo nazis. the fbi director even said so .  some people walk with their eyes closed      ",Democrat,[],[]
"You know if the US election works out and Biden wins then I will feel quite envious that they got rid of their joker, and we are left with ours.  ","you know if the us election works out and biden wins then i will feel quite envious that they got rid of their joker, and we are left with ours.  ",Democrat,['Biden'],['Trump']
 and  to  November 3rd starting at 8 AM ET. https://t.co/2zHEQwcJTq   because          https://t.co/q2HsW2HSlA, and  to  november 3rd starting at 8 am et.    because          ,Democrat,"['Biden', 'Harris']",[]
"The FBI is investigating this nonsense, but what about the thousands of people that were intimidated by  riots and protests? People STILL can't sit peacefully at dinner with Antifa and BLM screaming and yelling at them. Do your job right FBI.
https://t.co/2QKctSXPX3","the fbi is investigating this nonsense, but what about the thousands of people that were intimidated by  riots and protests  people still can t sit peacefully at dinner with antifa and blm screaming and yelling at them. do your job right fbi. ",Democrat,[],[]
"Hope Joe Biden called off his address to the nation tonight with honking horns and fireworks. No one’s in the mood for more noise. 
 
 
@JoeBiden",hope joe biden called off his address to the nation tonight with honking horns and fireworks. no one s in the mood for more noise.       joebiden,Democrat,"['Joe', 'Joe', 'Biden', 'Biden']",[]
Hating Donald Trump and feeling gratitude for police officers do not have to be mutually exclusive emotions.  ,hating donald trump and feeling gratitude for police officers do not have to be mutually exclusive emotions.  ,Democrat,[],"['Trump', 'Donald']"
"Season Finale of Presidential “Apprentice” tonight 

Watch as America tells @realDonaldTrump 

YOU’RE FIRED!!

  
  
  
 https://t.co/wlL2VQYSnl",season finale of presidential  apprentice  tonight   watch as america tells  realdonaldtrump   you re fired              ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Trump', 'Donald']"
"Democrats are favored to win the Senate https://t.co/twOditUVPh @Lynnsplace2018
@TeamPelosi             ",democrats are favored to win the senate   lynnsplace2018  teampelosi             ,Democrat,"['Biden', 'Biden', 'Harris', 'Harris', 'Democrats', 'Democrat']",[]
" gives  
the sole Power to try all Impeachments
to protect  

But  used it
AGAINST PEOPLE to protect 

         https://t.co/Icnm88y17W", gives   the sole power to try all impeachments to protect    but  used it against people to protect            ,Democrat,['Biden'],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'GOP']"
"They aren’t “finding Biden votes everywhere”, people just voted for him and they are still counting all the votes. Make it make sense please   ","they aren t  finding biden votes everywhere , people just voted for him and they are still counting all the votes. make it make sense please   ",Democrat,"['Biden', 'Biden']",['Trump']
"GOOD MORNING... NEWS &amp; VIEWS from the LEFT SIDE not the DARK SIDE... 

Trump’s Closing Argument on Virus Clashes With Science, and Voters’ Lives https://t.co/QlclJKWUa9 ---   ","good morning... news and; views from the left side not the dark side...   trump s closing argument on virus clashes with science, and voters  lives  ---   ",Democrat,[],"['Trump', 'Trump']"
"To Donald Trump, all the MAGA, the Q's, Trumps crotch goblins, his cabinet, the GOP, the NRA, Fox News, and especially Steve Bannon and Miller...

https://t.co/r1ybONxlHj

 
 
","to donald trump, all the maga, the q s, trumps crotch goblins, his cabinet, the gop, the nra, fox news, and especially steve bannon and miller...        ",Democrat,['Biden'],"['Trump', 'Trump', 'Donald', 'GOP']"
"Check out my Gig on Fiverr: do best shopify promotion, shopify marketing ROI converting and sales https://t.co/6glNulM54B 
   ","check out my gig on fiverr: do best shopify promotion, shopify marketing roi converting and sales      ",Democrat,[],"['Trump', 'Trump']"
                       https://t.co/TevUXT5ltb,                       ,Democrat,"['Joe', 'Biden']","['Trump', 'Donald']"
One nation; in destress. Fighting for liberty and justice for all.     ,one nation; in destress. fighting for liberty and justice for all.     ,Democrat,[],[]
"Pay attention. Polls don't win election, VOTES DO. So buckle up and get to the polls in the morning and VOTE Biden/Harris. Vote down ballot and flip the Senate.           https://t.co/ZTrtFMnE1u","pay attention. polls don t win election, votes do. so buckle up and get to the polls in the morning and vote biden/harris. vote down ballot and flip the senate.           ",Democrat,"['Biden', 'Harris']",[]
IT’S OCTOBER AND DONALD TRUMP STILL HAS NO FUCKING PLAN FOR COVID. All we got from Donald trump in 2020 was a nationwide covid tour. Worst concert ever ,it s october and donald trump still has no fucking plan for covid. all we got from donald trump in 2020 was a nationwide covid tour. worst concert ever ,Democrat,[],"['TRUMP', 'trump', 'Trump', 'DONALD', 'Donald']"
"Blue Tide 24x36 oil on canvas 

                      https://t.co/RNP5q2WvY4",blue tide 24x36 oil on canvas                         ,Democrat,['biden'],['trump']
"
米郵政公社、ペンシルベニア州集配センターで1700通の投票用紙発見 https://t.co/1ejP9P8OZC ",                      1700          ,Democrat,[],['Trump']
"Accurate! ❤️🤣😂👏💀🗳🇺🇸











 https://t.co/4TrxM0Aqtw",accurate                        ,Democrat,"['Biden', 'Biden', 'Harris']",[]
A NYT columnist interviews rightwing gun enthusiasts in a small conservative town. The Trump-loving restaurant owner orders him out.   https://t.co/WNthnXfcs3,a nyt columnist interviews rightwing gun enthusiasts in a small conservative town. the trump-loving restaurant owner orders him out.   ,Democrat,[],"['Trump', 'Trump']"
"My 18 year old, voting in his first Presidential election today, was made to take off his  shirt in order to vote. And we wonder why the under 30's might be lackluster about participating in democracy?!","my 18 year old, voting in his first presidential election today, was made to take off his  shirt in order to vote. and we wonder why the under 30 s might be lackluster about participating in democracy  ",Democrat,[],[]
"The US election is tomorrow!! If you are voting in person, here are a few things to keep in mind. Please share and vote Trump out!         https://t.co/wnFZRQUdP5","the us election is tomorrow   if you are voting in person, here are a few things to keep in mind. please share and vote trump out          ",Democrat,"['biden', 'biden', 'harris', 'democrat']","['Trump', 'trump', 'trump']"
"This is what happens when you let  and  count votes...  
https://t.co/tdUF0kK6qY",this is what happens when you let  and  count votes...   ,Democrat,[],[]
"   the Black men who did not show up on Election Day for  are the lowest &amp; the weakest and are no better than Nationalists.

Do not let them into your lives .... or your beds",   the black men who did not show up on election day for  are the lowest and; the weakest and are no better than nationalists.  do not let them into your lives .... or your beds,Democrat,"['Kamala', 'Harris']",[]
"Just one of many corrupt deals where our tax dollars go to Trump's cronies. 


 https://t.co/tTwqPhoud0",just one of many corrupt deals where our tax dollars go to trump s cronies.     ,Democrat,[],"['Trump', 'Trump', 'Trump']"
"Welcome to the DTGopKKKult police state:

 



""We Shall Never Back Down""

 
 

https://t.co/r23UVx94Ea https://t.co/TzAC3UXVkU",welcome to the dtgopkkkult police state:        we shall never back down         ,Democrat,[],['Gop']
"I’ve signed up to make calls with Back To Blue PA on Monday, Nov 2, 2020. Are you free to join me? Use this link to sign up:
         

https://t.co/IYkMaWQ9Pc","i ve signed up to make calls with back to blue pa on monday, nov 2, 2020. are you free to join me  use this link to sign up:            ",Democrat,"['democrats', 'democrat']","['trump', 'trump']"
 .     https://t.co/Qzt8YghViK, .     ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump']"
     https://t.co/0VYVqR3sVH,     ,Democrat,[],[]
Hey  The  is a RAG. Anybody who lives in  only looks at it when they pick it up off the floor of a subway car—and that’s only to look at the sports news. Holding that up as your proof of a  scandal is ludicrous.  ,hey  the  is a rag. anybody who lives in  only looks at it when they pick it up off the floor of a subway car and that s only to look at the sports news. holding that up as your proof of a  scandal is ludicrous.  ,Democrat,['Biden'],"['Trump', 'GOP']"
"Marco Rubio is following the Trump playbook. 

Trump is following the Hitler playbook. 

",marco rubio is following the trump playbook.   trump is following the hitler playbook.   ,Democrat,[],"['Trump', 'Trump', 'Trump']"
Remember those amazing @JimCarrey paintings during the Trump presidency @realDonaldTrump loooool   https://t.co/1gm306L4HH,remember those amazing  jimcarrey paintings during the trump presidency  realdonaldtrump loooool   ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
"        @RepAOC                  
https://t.co/zt4HBY75to",         repaoc                   ,Democrat,[],[]
"Humiliate the cunt 🇺🇸 

        ",humiliate the cunt              ,Democrat,"['Biden', 'Biden', 'Biden', 'Harris', 'Harris']","['Trump', 'Trump']"
"The only thing this delayed election is resulting in is the mistrust and lack of integrity in the political system. 

You want us to trust you,  and let members of both parties ","the only thing this delayed election is resulting in is the mistrust and lack of integrity in the political system.   you want us to trust you,  and let members of both parties ",Democrat,[],[]
Come on  we need you!!      🤣🤣🤣🤣🤣🤣 https://t.co/p6QvobM3xw,come on  we need you               ,Democrat,"['Biden', 'Harris']",['Trump']
"I hope when they interview people on the street after the Biden win, everyone says how much they hated the orange Pig and what a loser and liar he is... I want him to hear it endlessly until it's a relentless mantra of humiliation in his head...   ","i hope when they interview people on the street after the biden win, everyone says how much they hated the orange pig and what a loser and liar he is... i want him to hear it endlessly until it s a relentless mantra of humiliation in his head...   ",Democrat,['Biden'],[]
"         

BRITISH TV: Revealed  campaign strategy to deter millions of Black  from 2016  https://t.co/PkbFIbRXpY via @Channel4News",           british tv: revealed  campaign strategy to deter millions of black  from 2016   via  channel4news,Democrat,"['Biden', 'Biden', 'Harris']",['Trump']
"To quote a @trashtalkhc lyric “I don't care where you're going, I just care that you're gone”         https://t.co/bTxIjjJ5YU","to quote a  trashtalkhc lyric  i don t care where you re going, i just care that you re gone          ",Democrat,[],['trump']
"UPDATE: Georgia is slipping, 49.5 to 49.2, Biden is about to flip it blue! Trump's lead has decreased from 18K to about 14K right now. A little longer and it should be tied, and then won over by Biden! :))    ","update: georgia is slipping, 49.5 to 49.2, biden is about to flip it blue  trump s lead has decreased from 18k to about 14k right now. a little longer and it should be tied, and then won over by biden  :      ",Democrat,"['Biden', 'Biden', 'biden', 'Democrats', 'Democrat']","['Trump', 'Trump']"
"Trump and the GOP are responsible for our misery. Vote EARLY for  to end the nightmare
VOTE by November 3, 2020!  https://t.co/X0bfhi1luD","trump and the gop are responsible for our misery. vote early for  to end the nightmare vote by november 3, 2020   ",Democrat,"['Biden', 'Harris']","['Trump', 'Trump', 'GOP']"
"Just a friendly reminder that tomorrow is Election Day 💙🇺🇸

           ",just a friendly reminder that tomorrow is election day                 ,Democrat,"['Biden', 'Biden', 'Harris']","['Trump', 'Trump', 'GOP', 'GOP', 'GOP']"
Military ballots always come in after election day. This one. SMH. ,military ballots always come in after election day. this one. smh. ,Democrat,[],['Trump']
I just fired @realDonaldTrump 🖕🏼🖕🏼🖕🏼 @JoeBiden @DrBiden @DaddyFiles @WhiteHouse           @kayleighmcenany https://t.co/63l6SGr1Px,i just fired  realdonaldtrump         joebiden  drbiden  daddyfiles  whitehouse            kayleighmcenany ,Democrat,"['Joe', 'Biden', 'Biden']","['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Donald']"
 Madame Tussauds in Berlin Dumps Donald Trump's Wax Figure in the Trash Ahead of Election Day https://t.co/SXegngABdH, madame tussauds in berlin dumps donald trump s wax figure in the trash ahead of election day ,Democrat,[],"['Trump', 'Trump', 'Donald']"
One last huge drive to kick Trump to the streets!                  https://t.co/va0EGQ6lgt,one last huge drive to kick trump to the streets                   ,Democrat,"['Joe', 'Joe', 'Biden', 'Biden', 'Biden', 'Biden', 'Kamala', 'Harris', 'Harris']","['Trump', 'Trump']"
Happy  Trump Day.,happy  trump day.,Democrat,[],['Trump']
" participation in  means

- no difference btw LEGIT &amp; NOT LEGIT President
- meddling (de-facto) is no longer a crime
- 2nd  is highly possible
-  ceased to exist
-  meaning is eroded

    https://t.co/DVMEAZ6CAz", participation in  means  - no difference btw legit and; not legit president - meddling  de-facto  is no longer a crime - 2nd  is highly possible -  ceased to exist -  meaning is eroded      ,Democrat,[],"['Trump', 'Trump', 'Trump']"
"Per què TV3 s'està esforçant tant en fer publicitat en contra de Trump?
",per qu  tv3 s est  esfor ant tant en fer publicitat en contra de trump  ,Democrat,[],['Trump']
Election Day       https://t.co/tDBZJUz40A,election day       ,Democrat,"['Biden', 'Harris']",['Trump']
After watching some of Trump’s statement tonight I am saddened and angry.   To make such unsubstantiated and incendiary statements is beyond belief.  Stop counting in Philly but keep counting in Arizona?  Enough is enough.   https://t.co/Fv23wqqTig,after watching some of trump s statement tonight i am saddened and angry.   to make such unsubstantiated and incendiary statements is beyond belief.  stop counting in philly but keep counting in arizona   enough is enough.   ,Democrat,[],"['Trump', 'Trump']"
"Watch on  The Wolfman Joe Show Day 4:           

https://t.co/nMo0dIzBUm",watch on  the wolfman joe show day 4:             ,Democrat,"['Joe', 'Biden', 'Biden', 'Biden']",['Trump']
"https://t.co/RY7UFNVvRI
       ",        ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
"Trump is torturing Latino children 
  
 
https://t.co/z2dQCA6N3c  https://t.co/7kVQ85OmOd",trump is torturing latino children         ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump']"
https://t.co/FibRUUZvkL                  ,                  ,Democrat,[],[]
Election Day: Polls close in a handful of key swing states as voting continues across the US  https://t.co/tsAl0WslGq       ,election day: polls close in a handful of key swing states as voting continues across the us         ,Democrat,[],"['Trump', 'Trump', 'Donald']"
"Ragged over this, but only because im determined to spread the word and share evidence of the truth.        https://t.co/ly56bxQU16","ragged over this, but only because im determined to spread the word and share evidence of the truth.        ",Democrat,[],[]
"With this  I keep hearing Samuel L Jackson's line in Snakes on a Plane in my head: 

Enough is enough! I have had it with these motherfuckin'  [in this] motherfuckin' [ 

@SamuelLJackson  
 
",with this  i keep hearing samuel l jackson s line in snakes on a plane in my head:   enough is enough  i have had it with these motherfuckin    in this  motherfuckin       samuelljackson     ,Democrat,[],['Trump']
"BREAKING: Joe Biden just got a late endorsement from a lifelong Jewish Republican, one that may just change the course of this election: my Papa, Yefim. Spoiler alert: he's pretty pissed about Trump's racism and homophobic policies.      https://t.co/aadRgRuISU","breaking: joe biden just got a late endorsement from a lifelong jewish republican, one that may just change the course of this election: my papa, yefim. spoiler alert: he s pretty pissed about trump s racism and homophobic policies.      ",Democrat,"['Joe', 'Biden']","['Trump', 'Republican']"
TOTAL SOUTIENT !!! A DEREK CHAUVIN !!! UN NÉGRE EN MOINS !!!     ,total soutient     a derek chauvin     un n gre en moins         ,Democrat,[],['Trump']
